Año;Fisica;Quimica;Medicina;Literatura;Paz;Economia
1946;Percy W. Bridgman;"James B. Sumner;
John Howard Northrop;
Wendell Meredith Stanley";Hermann Joseph Muller;Hermann Hesse;"Emily Greene Balch;
John Mott";—
1947;Edward V. Appleton;Robert Robinson;"Carl Ferdinand Cori;
Gerty Theresa Cori;
Bernardo Houssay";André Gide;"Friends Service Council;
American Friends Service Committee";—
1948;Patrick M.S. Blackett;Arne Tiselius;Paul Hermann Müller;T. S. Eliot;No se entregó;—
1949;Hideki Yukawa;William Francis Giauque;"Walter Rudolf Hess;
António Egas Moniz";William Faulkner;John Boyd Orr;—
1950;Cecil Powell;"Otto Diels;
Kurt Alder";"Philip Showalter Hench;
Edward Calvin Kendall;
Tadeus Reichstein";Bertrand Russell;Ralph Bunche;—
1951;"John Cockcroft;
Ernest T.S. Walton";"Edwin McMillan;
Glenn T. Seaborg";Max Theiler;Pär Lagerkvist;Léon Jouhaux;—
1952;"Felix Bloch;
Edward M. Purcell";"Archer John Porter Martin;
Richard Laurence Millington Synge";Selman Waksman;François Mauriac;Albert Schweitzer;—
1953;Frits Zernike;Hermann Staudinger;"Hans Adolf Krebs;
Fritz Albert Lipmann";Winston Churchill;George Marshall;—
1954;"Max Born;
Walther Bothe";Linus Pauling;"John Franklin Enders;
Frederick Chapman Robbins;
Thomas Huckle Weller";Ernest Hemingway;Alto Comisionado de las Naciones Unidas para los Refugiados;—
1955;"Willis E. Lamb;
Polykarp Kusch";Vincent du Vigneaud;Hugo Theorell;Halldór Laxness;No se entregó;—
1956;"William B. Shockley;
John Bardeen;
Walter H. Brattain";"Cyril Norman Hinshelwood;
Nikolay Nikolaevich Semenov";"André Frédéric Cournand;
Werner Forssmann;
Dickinson W. Richards";Juan Ramón Jiménez;No se entregó;—
1957;"Chen Ning Yang;
Tsung-Dao Lee";Alexander Robert Todd;Daniel Bovet;Albert Camus;Lester B. Pearson;—
1958;"Pável Cherenkov;
Iliá Frank;
Ígor Tamm";Frederick Sanger;"George Wells Beadle;
Edward Lawrie Tatum;
Joshua Lederberg";Boris Pasternak;Georges Pire;—
1959;"Emilio Segrè;
Owen Chamberlain";Jaroslav Heyrovský;"Arthur Kornberg;
Severo Ochoa";Salvatore Quasimodo;Philip J. Noel-Baker;—
1960;Donald A. Glaser;Willard Libby;"Frank Macfarlane Burnet;
Peter Medawar";Saint-John Perse;Albert Lutuli;—
1961;"Robert Hofstadter;
Rudolf Mössbauer";Melvin Calvin;Georg von Békésy;Ivo Andrić;Dag Hammarskjöld;—
1962;Lev Landáu;"Max Perutz;
John Kendrew";"Francis Crick;
James D. Watson;
Maurice Wilkins";John Steinbeck;Linus Pauling;—
1963;"Eugene Wigner;
Maria Goeppert-Mayer;
J. Hans D. Jensen";"Karl Ziegler;
Giulio Natta";"John Carew Eccles;
Alan Lloyd Hodgkin;
Andrew Huxley";Giorgos Seferis;"Comité Internacional de la Cruz Roja;
Federación Internacional de Sociedades de la Cruz Roja y de la Media Luna Roja";—
1964;"Charles H. Townes;
Nikolái Básov;
Aleksandr Prójorov";Dorothy Crowfoot Hodgkin;"Konrad Emil Bloch;
Feodor Lynen";Jean-Paul Sartre;Martin Luther King, Jr.;—
1965;"Sin-Itiro Tomonaga;
Julian Schwinger;
Richard P. Feynman";Robert Burns Woodward;"François Jacob;
André Michel Lwoff;
Jacques Monod";Mijaíl Sholojov;Fondo de Naciones Unidas para la Infancia (Unicef);—
1966;Alfred Kastler;Robert S. Mulliken;"Francis Peyton Rous;
Charles Brenton Huggins";"Shmuel Yosef Agnon;
Nelly Sachs";No se entregó;—
1967;Hans Bethe;"Manfred Eigen;
Ronald George Wreyford Norrish;
George Porter";"Ragnar Granit;
Haldan Keffer Hartline;
George Wald";Miguel Ángel Asturias;No se entregó;—
1968;Luis Walter Álvarez;Lars Onsager;"Robert W. Holley;
Har Gobind Khorana;
Marshall Warren Nirenberg";Yasunari Kawabata;René Cassin;—
1969;Murray Gell-Mann;"Derek Barton;
Odd Hassel";"Max Delbrück;
Alfred Hershey;
Salvador Luria";Samuel Beckett;Organización Internacional del Trabajo;"Ragnar Anton Kittil Frisch;
Jan Tinbergen"
1970;"Hannes Alfvén;
Louis Néel";Luis F. Leloir;"Julius Axelrod;
Ulf von Euler;
Bernard Katz";Aleksandr Solzhenitsyn;Norman Borlaug;Paul Samuelson
1971;Dennis Gabor;Gerhard Herzberg;Earl Wilbur Sutherland, Jr.;Pablo Neruda;Willy Brandt;Simon Kuznets
1972;"John Bardeen;
Leon Neil Cooper;
Robert Schrieffer";"Christian B. Anfinsen;
Stanford Moore;
William Howard Stein";"Gerald Edelman;
Rodney Robert Porter";Heinrich Böll;No se entregó;"John Hicks;
Kenneth Arrow"
1973;"Leo Esaki;
Ivar Giaever;
Brian David Josephson";"Ernst Otto Fischer;
Geoffrey Wilkinson";"Karl von Frisch;
Konrad Lorenz;
Nikolaas Tinbergen";Patrick White;"Henry Kissinger;
Lê Ðức Thọ";Wassily Leontief
1974;"Martin Ryle;
Antony Hewish";Paul Flory;"Albert Claude;
Christian de Duve;
George Emil Palade";"Eyvind Johnson;
Harry Martinson";"Seán MacBride;
Eisaku Satō";"Gunnar Myrdal;
Friedrich Hayek"
1975;"Aage Bohr;
Ben R. Mottelson;
James Rainwater";"John Cornforth;
Vladimir Prelog";"David Baltimore;
Renato Dulbecco;
Howard Martin Temin";Eugenio Montale;Andréi Sájarov;"Leonid Kantorovich;
Tjalling Koopmans"
1976;"Burton Richter;
Samuel C.C. Ting";William Lipscomb;"Baruch Samuel Blumberg;
Daniel Carleton Gajdusek";Saul Bellow;"Betty Williams;
Mairead Corrigan";Milton Friedman
1977;"Philip Warren Anderson;
Sir Nevill F. Mott;
John H. van Vleck";Ilya Prigogine;"Roger Guillemin;
Andrew Schally;
Rosalyn Sussman Yalow";Vicente Aleixandre;Amnistía Internacional;"Bertil Ohlin;
James Meade"
1978;"Piotr Kapitsa;
Arno Penzias;
Robert Woodrow Wilson";Peter D. Mitchell;"Werner Arber;
Daniel Nathans;
Hamilton O. Smith";Isaac Bashevis Singer;"Anwar El Sadat;
Menachem Begin";Herbert Simon
1979;"Sheldon Glashow;
Abdus Salam;
Steven Weinberg";"Herbert C. Brown;
Georg Wittig";"Allan McLeod Cormack;
Godfrey Hounsfield";Odysseas Elytis;Teresa de Calcuta;"Theodore Schultz;
Arthur Lewis"
1980;"James Cronin;
Val Fitch";"Paul Berg;
Walter Gilbert;
Frederick Sanger";"Baruj Benacerraf;
Jean Dausset;
George Davis Snell";Czesław Miłosz;Adolfo Pérez Esquivel;Lawrence Klein
1981;"Nicolaas Bloembergen;
Arthur L. Schawlow;
Kai M. Siegbahn";"Kenichi Fukui;
Roald Hoffmann";"Roger W. Sperry;
David H. Hubel;
Torsten N. Wiesel";Elias Canetti;Alto Comisionado de las Naciones Unidas para y los Refugiados;James Tobin
1982;Kenneth G. Wilson;Aaron Klug;"Sune Bergström;
Bengt I. Samuelsson;
John Robert Vane";Gabriel García Márquez;"Alva Myrdal;
Alfonso García Robles";George Stigler
